Tiempo,Temperatura
1,147 
2,100 
3,109 
4,100 
5,159 
6,100 
7,222 
8,100 
9,97 
10,209 
11,100 
12,46 
13,96 
14,243 
15,100 
16,48 
17,236 
18,100 
19,177 
20,100 
21,164 
22,100 
23,184 
24,100 
25,166 
26,100 
27,209 
28,100 
29,41 
30,55 
31,202 
32,100 
33,106 
34,100 
35,127 
36,100 
37,179 
38,100 
39,240 
40,100 
41,116 
42,100 
43,176 
44,100 
45,90 
46,35 
47,183 
48,100 
49,56 
50,176 
51,100 
52,197 
53,100 
54,53 
55,189 
56,100 
57,75 
58,219 
59,100 
60,22 
61,139 
62,100 
63,168 
64,100 
65,6 
66,34 
67,195 
68,100 
69,115 
70,100 
71,123 
72,100 
73,240 
74,100 
75,108 
76,100 
77,239 
78,100 
79,55 
80,130 
81,100 
82,158 
83,100 
84,119 
85,100 
86,5 
87,16 
88,52 
89,158 
90,100 
91,72 
92,215 
93,100 
94,218 
95,100 
96,66 
97,17 
98,135 
